Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyMatch,Firefox 52.0,,2018-07-02 20:46:10,2018-07-02 20:46:10,0.000s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3901 Verify that the item name should be a hyperlink which will navigate to the item details pop-up with the following information Specifications,Firefox 52.0,,2018-07-02 20:46:10,2018-07-02 20:47:24,1m - 13.216s,PASSED
callTestCase,Firefox 52.0,,2018-07-02 20:46:10,2018-07-02 20:47:03,52.489s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:47:03,2018-07-02 20:47:11,8.020s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:47:11,2018-07-02 20:47:11,0.001s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:47:11,2018-07-02 20:47:11,0.020s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-02 20:47:11,2018-07-02 20:47:11,0.035s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-02 20:47:11,2018-07-02 20:47:11,0.029s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-02 20:47:11,2018-07-02 20:47:11,0.013s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-02 20:47:11,2018-07-02 20:47:11,0.024s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-02 20:47:11,2018-07-02 20:47:16,5.295s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-02 20:47:16,2018-07-02 20:47:22,5.305s,PASSED
click,Firefox 52.0,,2018-07-02 20:47:22,2018-07-02 20:47:22,0.211s,PASSED
click,Firefox 52.0,,2018-07-02 20:47:22,2018-07-02 20:47:22,0.201s,PASSED
click,Firefox 52.0,,2018-07-02 20:47:22,2018-07-02 20:47:23,1.087s,PASSED
click,Firefox 52.0,,2018-07-02 20:47:23,2018-07-02 20:47:23,0.195s,PASSED
verifyElementText,Firefox 52.0,,2018-07-02 20:47:23,2018-07-02 20:47:23,0.033s,PASSED
closeBrowser,Firefox 52.0,,2018-07-02 20:47:23,2018-07-02 20:47:24,0.185s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3902 Verify that the item name should be a hyperlink which will navigate to the item details pop-up with the following information Attachment,Firefox 52.0,,2018-07-02 20:47:24,2018-07-02 20:48:36,1m - 12.331s,PASSED
callTestCase,Firefox 52.0,,2018-07-02 20:47:24,2018-07-02 20:48:15,51.315s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:48:15,2018-07-02 20:48:23,8.118s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:48:23,2018-07-02 20:48:23,0.004s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:48:23,2018-07-02 20:48:23,0.017s,PASSED
