Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Firefox 52.0,,2018-07-05 21:07:28,2018-07-05 21:07:28,0.191s,PASSED
click,Firefox 52.0,,2018-07-05 21:07:28,2018-07-05 21:07:28,0.102s,PASSED
verifyElementText,Firefox 52.0,,2018-07-05 21:07:28,2018-07-05 21:07:28,0.027s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:07:28,2018-07-05 21:07:29,0.251s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3906 User should be able to remove item(s) from the favourites section,Firefox 52.0,,2018-07-05 21:07:29,2018-07-05 21:10:38,3m - 9.778s,FAILED
callTestCase,Firefox 52.0,,2018-07-05 21:07:29,2018-07-05 21:08:18,49.773s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:08:18,2018-07-05 21:08:26,7.180s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:26,0.023s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:26,0.016s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:26,0.024s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:26,0.022s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:31,5.308s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:08:31,2018-07-05 21:08:36,5.304s,PASSED
click,Firefox 52.0,,2018-07-05 21:08:36,2018-07-05 21:08:37,0.192s,PASSED
click,Firefox 52.0,,2018-07-05 21:08:37,2018-07-05 21:08:38,1.545s,PASSED
delay,Firefox 52.0,,2018-07-05 21:08:38,2018-07-05 21:08:40,2.000s,PASSED
click,Firefox 52.0,,2018-07-05 21:08:40,2018-07-05 21:08:40,0.198s,PASSED
delay,Firefox 52.0,,2018-07-05 21:08:40,2018-07-05 21:08:44,4.001s,PASSED
click,Firefox 52.0,,2018-07-05 21:08:44,2018-07-05 21:08:44,0.104s,PASSED
delay,Firefox 52.0,,2018-07-05 21:08:44,2018-07-05 21:08:48,4.001s,PASSED
click,Firefox 52.0,,2018-07-05 21:08:48,2018-07-05 21:08:49,0.115s,PASSED
delay,Firefox 52.0,,2018-07-05 21:08:49,2018-07-05 21:08:53,4.002s,PASSED
click,Firefox 52.0,,2018-07-05 21:08:53,2018-07-05 21:10:38,1m - 45.869s,FAILED
,,,,,,
Test Cases/DDS-264/DDS-4093 User should be able to enter the name of the item in the search box,Firefox 52.0,,2018-07-05 21:10:38,2018-07-05 21:11:36,57.638s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:10:38,2018-07-05 21:11:00,21.921s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:11:00,2018-07-05 21:11:29,29.052s,PASSED
sendKeys,Firefox 52.0,,2018-07-05 21:11:29,2018-07-05 21:11:31,1.813s,PASSED
click,Firefox 52.0,,2018-07-05 21:11:31,2018-07-05 21:11:32,0.330s,PASSED
verifyElementAttributeValue,Firefox 52.0,,2018-07-05 21:11:32,2018-07-05 21:11:36,4.216s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:11:36,2018-07-05 21:11:36,0.229s,PASSED
,,,,,,
Test Cases/DDS-264/DDS-4094 search by type section should be displayed on entering the name of the text,Firefox 52.0,,2018-07-05 21:11:36,2018-07-05 21:12:23,46.907s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:11:36,2018-07-05 21:12:17,40.588s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:12:17,2018-07-05 21:12:23,6.194s,PASSED
"Statement - Value = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Laptop For 1 Row), STOP_ON_FAILURE)",Firefox 52.0,,2018-07-05 21:12:23,2018-07-05 21:12:23,0.039s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:12:23,2018-07-05 21:12:23,0.008s,PASSED
,,,,,,
Test Cases/DDS-264/DDS-4096  Cant find what u are looking for  Create request option  should be displayed below search type after typing item name in the search box,Firefox 52.0,,2018-07-05 21:12:23,2018-07-05 21:13:17,53.867s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:12:23,2018-07-05 21:12:45,21.598s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:12:45,2018-07-05 21:13:16,31.294s,PASSED
sendKeys,Firefox 52.0,,2018-07-05 21:13:16,2018-07-05 21:13:16,0.416s,PASSED
click,Firefox 52.0,,2018-07-05 21:13:16,2018-07-05 21:13:17,0.290s,PASSED
verifyElementText,Firefox 52.0,,2018-07-05 21:13:17,2018-07-05 21:13:17,0.032s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:13:17,2018-07-05 21:13:17,0.174s,PASSED
,,,,,,
"Test Cases/DDS-264/DDS-4097 On online store page, user should be able to search item with multilingual characters",Firefox 52.0,,2018-07-05 21:13:17,2018-07-05 21:14:19,1m - 2.069s,PASSED
